2026-07-04 23:19:28 | ticketvision.dataset | INFO     | Sequence shapes — Train: (140000, 150) | Val: (30000, 150) | Test: (30000, 150)
2026-07-04 23:19:29 | ticketvision.dataset | INFO     | tf.data pipelines built (batch_size=64).
2026-07-04 23:19:29 | ticketvision.dataset | INFO     | Dataset preparation complete.
2026-07-04 23:19:29 | ticketvision.models.rnn | INFO     | Building Simple-RNN model …
2026-07-04 23:19:29 | ticketvision.models.rnn | INFO     |   vocab=20,000  embed=128  seq_len=150  rnn_units=128  layers=2  classes=10  dropout=0.30  rec_dropout=0.20
2026-07-04 23:19:29 | ticketvision.models.rnn | INFO     | Model graph constructed successfully.
2026-07-04 23:19:29 | ticketvision.models.rnn | INFO     | Model compiled — optimizer=Adam(lr=0.001), loss=SparseCategoricalCrossentropy, metrics=[accuracy].
2026-07-04 23:19:29 | ticketvision.trainer | INFO     | ============================================================
2026-07-04 23:19:29 | ticketvision.trainer | INFO     |   Training: RNN
2026-07-04 23:19:29 | ticketvision.trainer | INFO     | ============================================================
2026-07-04 23:19:29 | ticketvision.trainer | INFO     | Best model will be saved to  : D:\MLPs\TicketVision AI\models\rnn\simple_rnn_model.keras
2026-07-04 23:19:29 | ticketvision.trainer | INFO     | Final model will be saved to : D:\MLPs\TicketVision AI\models\rnn\simple_rnn_model_final.keras
2026-07-04 23:19:29 | ticketvision.trainer | INFO     | CSV log                      : D:\MLPs\TicketVision AI\models\rnn\simple_rnn_model.history.csv
2026-07-04 23:19:29 | ticketvision.trainer | INFO     | History JSON                 : D:\MLPs\TicketVision AI\models\rnn\simple_rnn_model.history.json
2026-07-04 23:19:29 | ticketvision.trainer | INFO     | TensorBoard logs             : D:\MLPs\TicketVision AI\experiments\rnn\tensorboard
2026-07-04 23:19:29 | ticketvision.trainer | INFO     | Callbacks configured for 'rnn':
2026-07-04 23:19:29 | ticketvision.trainer | INFO     |   • ModelCheckpoint
2026-07-04 23:19:29 | ticketvision.trainer | INFO     |   • EarlyStopping
2026-07-04 23:19:29 | ticketvision.trainer | INFO     |   • ReduceLROnPlateau
2026-07-04 23:19:29 | ticketvision.trainer | INFO     |   • CSVLogger
2026-07-04 23:19:29 | ticketvision.trainer | INFO     |   • TensorBoard
2026-07-04 23:19:29 | ticketvision.trainer | INFO     | Starting training — epochs=1, seed=42.
2026-07-04 23:19:38 | ticketvision.trainer | INFO     | Training complete in 9.6s.
2026-07-04 23:19:38 | ticketvision.trainer | INFO     |   Epochs completed : 1 / 1
2026-07-04 23:19:38 | ticketvision.trainer | INFO     |   Best val_loss    : 2.28438  (epoch 1)
2026-07-04 23:19:38 | ticketvision.trainer | INFO     |   Final train_acc  : 0.0906  |  val_acc : 0.1172
2026-07-04 23:19:39 | ticketvision.trainer | INFO     | Final model saved to: D:\MLPs\TicketVision AI\models\rnn\simple_rnn_model_final.keras
2026-07-04 23:19:39 | ticketvision.trainer | INFO     | Training history saved to: D:\MLPs\TicketVision AI\models\rnn\simple_rnn_model.history.json
2026-07-04 23:19:39 | ticketvision.trainer | INFO     | Training plots saved to: D:\MLPs\TicketVision AI\outputs\plots\rnn_training_curves.png
2026-07-04 23:19:39 | ticketvision.trainer | INFO     | ============================================================
2026-07-04 23:19:39 | ticketvision.trainer | INFO     |   Training pipeline complete: RNN
2026-07-04 23:19:39 | ticketvision.trainer | INFO     | ============================================================
